Time,HAData_Consumption
1680822000000,0.18
1680825600000,0.18
1680829200000,0.19
1680832800000,0.19
1680836400000,0.53
1680840000000,0.42
1680843600000,0.75
1680847200000,0.64
1680850800000,0.51
1680854400000,0.49
1680858000000,0.62
1680861600000,0.96
1680865200000,0.72
1680868800000,1.29
1680872400000,0.66
1680876000000,0.44
1680879600000,0.47
1680883200000,0.26
1680886800000,0.35
1680890400000,0.33
1680894000000,0.62
1680897600000,0.67
1680901200000,0.3
1680904800000,0.19
1680908400000,0.19
1680912000000,0.18
1680915600000,0.21
1680919200000,0.2
1680922800000,0.2
1680926400000,0.61
1680930000000,1.2
1680933600000,0.72
1680937200000,0.23
1680940800000,0.21
1680944400000,1.22
1680948000000,1.21
1680951600000,1.22
1680955200000,0.68
1680958800000,0.73
1680962400000,0.41
1680966000000,0.21
1680969600000,0.19
1680973200000,0.38
1680976800000,0.44
1680980400000,0.3
1680984000000,0.28
1680987600000,0.31
1680991200000,0.2
1680994800000,0.22
1680998400000,0.19
1681002000000,0.19
1681005600000,0.18
1681009200000,0.33
1681012800000,1.6
1681016400000,1.26
1681020000000,1.57
1681023600000,1.11
1681027200000,0.84
1681030800000,1.34
1681034400000,3.15
1681038000000,1.74
1681041600000,0.29
1681045200000,0.24
1681048800000,0.8
1681052400000,0.37
1681056000000,0.4
1681059600000,1.14
1681063200000,1.7
1681066800000,1.02
1681070400000,0.89
1681074000000,0.7
1681077600000,1.08
1681081200000,0.2
1681084800000,0.19
1681088400000,0.2
1681092000000,0.19
1681095600000,0.2
1681099200000,0.19
1681102800000,1.38
1681106400000,1.58
1681110000000,1.76
1681113600000,1.52
1681117200000,0.49
1681120800000,0.33
1681124400000,0.39
1681128000000,0.5
1681131600000,0.28
1681135200000,0.33
1681138800000,0.38
1681142400000,0.37
1681146000000,0.37
1681149600000,0.66
1681153200000,0.28
1681156800000,0.28
1681160400000,0.28
1681164000000,0.18
1681167600000,0.17
1681171200000,0.18
1681174800000,0.16
1681178400000,0.36
1681182000000,1.29
1681185600000,1.28
1681189200000,2.07
1681192800000,1.59
1681196400000,1.53
1681200000000,0.19
1681203600000,0.2
1681207200000,0.19
1681210800000,0.2
1681214400000,0.21
1681218000000,0.18
1681221600000,0.17
1681225200000,1.17
1681228800000,1.22
1681232400000,1.16
1681236000000,1.38
1681239600000,0.29
1681243200000,0.27
1681246800000,1.15
1681250400000,0.63
1681254000000,0.16
1681257600000,0.16
1681261200000,0.18
1681264800000,0.16
1681268400000,0.16
1681272000000,0.5
1681275600000,1.63
1681279200000,1.74
1681282800000,0.2
1681286400000,0.22
1681290000000,0.23
1681293600000,0.56
1681297200000,0.88
1681300800000,0.29
1681304400000,0.24
1681308000000,0.42
1681311600000,1.33
1681315200000,1.12
1681318800000,0.63
1681322400000,1.39
1681326000000,0.37
1681329600000,0.29
1681333200000,0.95
1681336800000,1.51
1681340400000,0.16
1681344000000,0.16
1681347600000,0.18
1681351200000,0.16
1681354800000,0.16
1681358400000,0.17
1681362000000,0.17
1681365600000,0.78
1681369200000,1.09
1681372800000,1
1681376400000,0.49
1681380000000,0.28
1681383600000,0.31
1681387200000,0.82
1681390800000,0.29
1681394400000,1.3
1681398000000,1.16
1681401600000,0.72
1681405200000,0.25
1681408800000,1.24
1681412400000,0.35
1681416000000,0.65
1681419600000,1.16
1681423200000,1.72
1681426800000,0.18
1681430400000,0.16
1681434000000,0.16
1681437600000,0.16
1681441200000,0.18
1681444800000,0.16
1681448400000,0.31
1681452000000,0.49
1681455600000,0.97
1681459200000,1.17
1681462800000,0.26
1681466400000,0.35
1681470000000,0.29
1681473600000,0.28
1681477200000,0.3
1681480800000,1.29
1681484400000,1.18
1681488000000,1.11
1681491600000,1.16
1681495200000,0.7
1681498800000,0.3
1681502400000,0.28
1681506000000,1.07
1681509600000,0.66
1681513200000,0.34
1681516800000,0.16
1681520400000,0.16
1681524000000,0.17
1681527600000,0.17
1681531200000,0.15
1681534800000,0.66
1681538400000,1.32
1681542000000,1.02
1681545600000,0.24
1681549200000,0.33
1681552800000,0.32
1681556400000,0.23
1681560000000,0.89
1681563600000,2.59
1681567200000,1.41
1681570800000,1.66
1681574400000,1.18
1681578000000,1.04
1681581600000,0.66
1681585200000,0.41
1681588800000,0.27
1681592400000,0.28
1681596000000,1.42
1681599600000,0.18
1681603200000,0.17
1681606800000,0.18
1681610400000,0.18
1681614000000,0.16
1681617600000,0.16
1681621200000,0.71
1681624800000,0.58
1681628400000,0.23
1681632000000,0.21
1681635600000,0.31
1681639200000,0.57
1681642800000,0.78
1681646400000,0.95
1681650000000,0.88
1681653600000,0.21
1681657200000,0.2
1681660800000,0.29
1681664400000,0.31
1681668000000,1.57
1681671600000,0.7
1681675200000,0.35
1681678800000,0.57
1681682400000,1.15
1681686000000,0.98
1681689600000,0.18
1681693200000,0.16
1681696800000,0.15
1681700400000,0.18
1681704000000,0.16
1681707600000,1.31
1681711200000,0.88
1681714800000,0.37
1681718400000,0.24
1681722000000,0.82
1681725600000,0.29
1681729200000,0.43
1681732800000,0.28
1681736400000,0.92
1681740000000,0.63
1681743600000,0.25
1681747200000,0.22
1681750800000,0.16
1681754400000,0.17
1681758000000,1.23
1681761600000,0.6
1681765200000,0.28
1681768800000,0.21
1681772400000,0.18
1681776000000,0.54
1681779600000,0.85
1681783200000,0.18
1681786800000,0.16
1681790400000,0.15
1681794000000,0.45
1681797600000,0.61
1681801200000,0.34
1681804800000,0.16
1681808400000,0.18
1681812000000,0.15
1681815600000,0.17
1681819200000,0.19
1681822800000,0.16
1681826400000,0.25
1681830000000,0.62
1681833600000,0.66
1681837200000,0.16
1681840800000,0.15
1681844400000,0.49
1681848000000,0.32
1681851600000,0.91
1681855200000,0.58
1681858800000,0.32
1681862400000,0.16
1681866000000,0.16
1681869600000,0.18
1681873200000,0.15
1681876800000,0.16
1681880400000,0.75
1681884000000,0.82
1681887600000,0.73
1681891200000,0.41
1681894800000,0.29
1681898400000,0.72
1681902000000,0.5
1681905600000,0.44
1681909200000,1.02
1681912800000,0.5
1681916400000,0.8
1681920000000,0.85
1681923600000,0.71
1681927200000,0.25
1681930800000,0.31
1681934400000,0.4
1681938000000,0.31
1681941600000,0.25
1681945200000,0.16
1681948800000,0.16
1681952400000,0.18
1681956000000,0.16
1681959600000,0.16
1681963200000,0.15
1681966800000,1.21
1681970400000,0.49
1681974000000,0.49
1681977600000,0.23
1681981200000,0.19
1681984800000,0.56
1681988400000,0.22
1681992000000,0.45
1681995600000,0.18
1681999200000,0.17
1682002800000,0.17
1682006400000,0.2
1682010000000,0.17
1682013600000,0.17
1682017200000,0.17
1682020800000,0.33
1682024400000,0.28
1682028000000,0.16
1682031600000,0.19
1682035200000,0.16
1682038800000,0.15
1682042400000,0.18
1682046000000,0.17
1682049600000,0.16
1682053200000,1.59
1682056800000,0.62
1682060400000,0.86
1682064000000,0.21
1682067600000,0.6
1682071200000,0.3
1682074800000,1.56
1682078400000,1.25
1682082000000,0.34
1682085600000,0.35
1682089200000,0.29
1682092800000,0.31
1682096400000,0.42
1682100000000,0.69
1682103600000,0.5
1682107200000,0.31
1682110800000,0.29
1682114400000,0.31
1682118000000,0.27
1682121600000,0.17
1682125200000,0.17
1682128800000,0.16
1682132400000,0.16
1682136000000,0.18
1682139600000,0.27
1682143200000,0.54
1682146800000,0.19
1682150400000,0.18
1682154000000,0.17
1682157600000,0.27
1682161200000,0.29
1682164800000,0.21
1682168400000,0.19
1682172000000,0.18
1682175600000,0.22
1682179200000,0.22
1682182800000,0.19
1682186400000,0.84
1682190000000,0.68
1682193600000,0.31
1682197200000,0.35
1682200800000,0.57
1682204400000,0.23
1682208000000,0.45
1682211600000,0.19
1682215200000,0.16
1682218800000,0.17
1682222400000,0.17
1682226000000,1.11
1682229600000,0.92
1682233200000,0.25
1682236800000,0.6
1682240400000,0.45
1682244000000,0.44
1682247600000,0.19
1682251200000,0.19
1682254800000,0.26
1682258400000,0.21
1682262000000,0.2
1682265600000,0.21
1682269200000,0.18
1682272800000,0.18
1682276400000,1.09
1682280000000,0.32
1682283600000,0.28
1682287200000,0.53
1682290800000,0.47
1682294400000,0.15
1682298000000,0.19
1682301600000,0.16
1682305200000,0.15
1682308800000,0.19
1682312400000,0.14
1682316000000,0.35
1682319600000,0.2
1682323200000,0.22
1682326800000,0.33
1682330400000,0.63
1682334000000,0.44
1682337600000,0.39
1682341200000,0.79
1682344800000,1.64
1682348400000,1.64
1682352000000,0.35
1682355600000,1.6
1682359200000,1.03
1682362800000,0.72
1682366400000,0.47
1682370000000,0.28
1682373600000,0.26
1682377200000,0.18
1682380800000,0.16
1682384400000,0.16
1682388000000,0.18
1682391600000,0.16
1682395200000,0.15
1682398800000,0.64
1682402400000,1.14
1682406000000,0.2
1682409600000,0.19
1682413200000,0.19
1682416800000,0.17
1682420400000,0.2
1682424000000,0.17
1682427600000,0.18
1682431200000,0.27
1682434800000,0.9
1682438400000,0.98
1682442000000,0.6
1682445600000,0.54
1682449200000,0.32
1682452800000,0.37
1682456400000,0.3
1682460000000,0.73
1682463600000,0.16
1682467200000,0.18
1682470800000,0.16
1682474400000,0.15
1682478000000,0.16
1682481600000,0.19
1682485200000,0.53
1682488800000,0.92
1682492400000,1.23
1682496000000,0.95
1682499600000,0.96
1682503200000,0.29
1682506800000,0.4
1682510400000,0.78
1682514000000,0.59
1682517600000,1.03
1682521200000,1.04
1682524800000,1.31
1682528400000,1.07
1682532000000,0.81
1682535600000,0.31
1682539200000,0.31
1682542800000,0.38
1682546400000,0.56
1682550000000,0.96
1682553600000,0.17
1682557200000,0.17
1682560800000,0.17
1682564400000,0.19
1682568000000,0.18
1682571600000,0.75
1682575200000,0.53
1682578800000,0.31
1682582400000,0.76
1682586000000,0.17
1682589600000,0.4
1682593200000,0.19
1682596800000,0.18
1682600400000,0.19
1682604000000,1.12
1682607600000,0.51
1682611200000,0.93
1682614800000,0.87
1682618400000,0.51
1682622000000,0.26
1682625600000,0.27
1682629200000,0.7
1682632800000,0.75
1682636400000,0.15
1682640000000,0.16
1682643600000,0.18
1682647200000,0.19
1682650800000,0.17
1682654400000,0.34
1682658000000,1.7
1682661600000,1.44
1682665200000,1.17
1682668800000,0.82
1682672400000,0.33
1682676000000,1.09
1682679600000,0.57
1682683200000,0.94
1682686800000,0.93
1682690400000,1.23
1682694000000,1.29
1682697600000,1.46
1682701200000,0.84
1682704800000,0.78
1682708400000,0.87
1682712000000,0.34
1682715600000,0.27
1682719200000,0.82
1682722800000,0.16
1682726400000,0.18
1682730000000,0.17
1682733600000,0.18
1682737200000,0.16
1682740800000,0.18
1682744400000,0.3
1682748000000,0.21
1682751600000,0.64
1682755200000,0.24
1682758800000,0.35
1682762400000,0.85
1682766000000,0.53
1682769600000,0.2
1682773200000,0.16
1682776800000,0.29
1682780400000,0.42
1682784000000,0.15
1682787600000,0.15
1682791200000,0.16
1682794800000,0.16
1682798400000,0.18
1682802000000,0.16
1682805600000,0.16
1682809200000,0.16
1682812800000,0.18
1682816400000,0.16
1682820000000,0.15
1682823600000,0.16
1682827200000,0.18
1682830800000,0.14
1682834400000,0.18
1682838000000,0.17
1682841600000,0.18
1682845200000,0.15
1682848800000,0.18
1682852400000,0.19
1682856000000,0.18
1682859600000,0.17
1682863200000,0.19
1682866800000,0.21
1682870400000,0.34
1682874000000,1.16
1682877600000,0.93
1682881200000,0.18
1682884800000,0.4
1682888400000,0.94
1682892000000,0.19
1682895600000,0.18
1682899200000,0.16
1682902800000,0.16
1682906400000,0.16
1682910000000,0.18
1682913600000,0.14
1682917200000,0.17
1682920800000,0.18
1682924400000,0.3
1682928000000,0.44
1682931600000,0.56
1682935200000,0.27
1682938800000,0.21
1682942400000,0.21
1682946000000,0.17
1682949600000,0.21
1682953200000,0.19
1682956800000,0.18
1682960400000,0.16
1682964000000,2.5
1682967600000,0.34
1682971200000,0.26
1682974800000,0.27
1682978400000,0.57
1682982000000,0.47
1682985600000,0.18
1682989200000,0.67
1682992800000,0.18
1682996400000,0.16
1683000000000,0.15
1683003600000,0.16
1683007200000,0.31
1683010800000,0.3
1683014400000,0.36
1683018000000,0.29
1683021600000,0.25
1683025200000,0.38
1683028800000,0.3
1683032400000,0.28
1683036000000,0.29
1683039600000,0.27
1683043200000,0.24
1683046800000,0.24
1683050400000,0.15
1683054000000,0.17
1683057600000,0.34
1683061200000,0.3
1683064800000,0.23
1683068400000,0.18
1683072000000,0.16
1683075600000,0.18
1683079200000,0.16
1683082800000,0.18
1683086400000,0.16
1683090000000,0.15
1683093600000,0.35
1683097200000,0.24
1683100800000,0.47
1683104400000,1.01
1683108000000,0.61
1683111600000,1.56
1683115200000,0.24
1683118800000,0.69
1683122400000,0.27
1683126000000,0.26
1683129600000,0.29
1683133200000,0.24
1683136800000,0.35
1683140400000,0.36
1683144000000,0.72
1683147600000,2.07
1683151200000,0.56
1683154800000,0.16
1683158400000,0.18
1683162000000,0.16
1683165600000,0.16
1683169200000,0.18
1683172800000,0.15
1683176400000,0.15
1683180000000,0.33
1683183600000,0.38
1683187200000,0.22
1683190800000,0.19
1683194400000,0.19
1683198000000,0.17
1683201600000,0.17
1683205200000,0.2
1683208800000,0.15
1683212400000,0.2
1683216000000,0.17
1683219600000,0.17
1683223200000,0.16
1683226800000,0.19
1683230400000,0.16
1683234000000,0.33
1683237600000,0.23
1683241200000,0.18
1683244800000,0.16
1683248400000,0.18
1683252000000,0.16
1683255600000,0.16
1683259200000,0.16
1683262800000,0.17
1683266400000,0.28
1683270000000,0.18
1683273600000,0.32
1683277200000,0.26
1683280800000,0.24
1683284400000,0.24
1683288000000,0.23
1683291600000,0.52
1683295200000,0.43
1683298800000,0.21
1683302400000,0.21
1683306000000,0.21
1683309600000,0.16
1683313200000,0.19
1683316800000,0.37
1683320400000,1.11
1683324000000,0.27
1683327600000,0.19
1683331200000,0.16
1683334800000,0.19
1683338400000,0.15
1683342000000,0.16
1683345600000,0.16
1683349200000,0.17
1683352800000,0.56
1683356400000,0.18
1683360000000,0.34
1683363600000,0.17
1683367200000,0.2
1683370800000,1.42
1683374400000,1.44
1683378000000,1.06
1683381600000,0.54
1683385200000,0.61
1683388800000,0.22
1683392400000,0.48
1683396000000,0.16
1683399600000,0.25
1683403200000,0.29
1683406800000,0.35
1683410400000,0.3
1683414000000,0.16
1683417600000,0.19
1683421200000,0.15
1683424800000,0.18
1683428400000,0.16
1683432000000,0.17
1683435600000,0.31
1683439200000,0.2
1683442800000,0.21
1683446400000,0.21
1683450000000,1.12
1683453600000,0.27
1683457200000,0.28
1683460800000,0.51
1683464400000,0.46
1683468000000,0.83
1683471600000,1.04
1683475200000,0.74
1683478800000,0.21
1683482400000,0.29
1683486000000,0.38
1683489600000,0.59
1683493200000,0.56
1683496800000,0.19
1683500400000,0.18
1683504000000,0.16
1683507600000,0.16
1683511200000,0.16
1683514800000,0.17
1683518400000,0.16
1683522000000,0.17
1683525600000,0.18
1683529200000,0.35
1683532800000,0.29
1683536400000,0.28
1683540000000,0.27
1683543600000,0.4
1683547200000,0.38
1683550800000,0.27
1683554400000,0.37
1683558000000,0.31
1683561600000,0.29
1683565200000,0.2
1683568800000,0.13
1683572400000,0.19
1683576000000,0.28
1683579600000,0.26
1683583200000,0.3
1683586800000,0.16
1683590400000,0.18
1683594000000,0.16
1683597600000,0.16
1683601200000,0.16
1683604800000,0.16
1683608400000,0.14
1683612000000,0.22
1683615600000,0.34
1683619200000,0.21
1683622800000,0.2
1683626400000,0.66
1683630000000,0.59
1683633600000,0.22
1683637200000,0.26
1683640800000,0.23
1683644400000,0.21
1683648000000,0.21
1683651600000,0.19
1683655200000,0.15
1683658800000,0.72
1683662400000,0.96
1683666000000,0.26
1683669600000,0.24
1683673200000,0.19
1683676800000,0.16
1683680400000,0.18
1683684000000,0.16
1683687600000,0.16
1683691200000,0.16
1683694800000,0.17
1683698400000,0.35
1683702000000,0.22
1683705600000,0.23
1683709200000,0.25
1683712800000,0.23
1683716400000,0.3
1683720000000,0.3
1683723600000,0.3
1683727200000,0.22
1683730800000,0.23
1683734400000,0.25
1683738000000,0.23
1683741600000,0.27
1683745200000,0.43
1683748800000,0.29
1683752400000,0.3
1683756000000,0.28
1683759600000,0.25
1683763200000,0.17
1683766800000,0.16
1683770400000,0.18
1683774000000,0.15
1683777600000,0.15
1683781200000,0.18
1683784800000,0.29
1683788400000,0.29
1683792000000,0.23
1683795600000,0.23
1683799200000,0.99
1683802800000,0.25
1683806400000,0.24
1683810000000,0.26
1683813600000,0.24
1683817200000,0.23
1683820800000,0.24
1683824400000,0.2
1683828000000,0.23
1683831600000,0.25
1683835200000,0.41
1683838800000,0.25
1683842400000,0.27
1683846000000,0.16
1683849600000,0.16
1683853200000,0.18
1683856800000,0.16
1683860400000,0.16
1683864000000,0.15
1683867600000,0.16
1683871200000,0.31
1683874800000,0.23
1683878400000,0.34
1683882000000,0.48
1683885600000,1
1683889200000,0.92
1683892800000,0.47
1683896400000,1.35
1683900000000,1.83
1683903600000,1.82
1683907200000,1.79
1683910800000,1.38
1683914400000,0.97
1683918000000,0.61
1683921600000,1.19
1683925200000,0.29
1683928800000,0.43
1683932400000,1.43
1683936000000,0.45
1683939600000,0.25
1683943200000,0.16
1683946800000,0.18
1683950400000,0.16
1683954000000,0.16
1683957600000,0.18
1683961200000,0.53
1683964800000,0.26
1683968400000,0.41
1683972000000,0.18
1683975600000,0.17
1683979200000,0.19
1683982800000,0.16
1683986400000,0.17
1683990000000,0.19
1683993600000,0.19
1683997200000,0.15
1684000800000,0.16
1684004400000,0.18
1684008000000,0.18
1684011600000,0.16
1684015200000,0.16
1684018800000,0.16
1684022400000,0.18
1684026000000,0.16
1684029600000,0.16
1684033200000,0.16
1684036800000,0.16
1684040400000,1.41
1684044000000,0.77
1684047600000,0.17
1684051200000,0.18
1684054800000,0.15
1684058400000,0.19
1684062000000,0.18
1684065600000,0.14
1684069200000,0.18
1684072800000,0.2
1684076400000,1.52
1684080000000,0.24
1684083600000,1.43
1684087200000,0.99
1684090800000,0.35
1684094400000,0.32
1684098000000,0.34
1684101600000,1.56
1684105200000,0.16
1684108800000,0.15
1684112400000,0.18
1684116000000,0.17
1684119600000,0.16
1684123200000,0.17
1684126800000,0.15
1684130400000,0.89
1684134000000,0.6
1684137600000,0.62
1684141200000,0.26
1684144800000,0.29
1684148400000,0.4
1684152000000,0.26
1684155600000,1.14
1684159200000,0.3
1684162800000,0.29
1684166400000,0.27
1684170000000,0.23
1684173600000,0.24
1684177200000,0.34
1684180800000,0.3
1684184400000,0.53
1684188000000,1.52
1684191600000,0.16
1684195200000,0.16
1684198800000,0.16
1684202400000,0.17
1684206000000,0.17
1684209600000,0.16
1684213200000,0.15
1684216800000,0.3
1684220400000,0.65
1684224000000,0.53
1684227600000,0.16
1684231200000,0.18
1684234800000,0.18
1684238400000,0.18
1684242000000,0.19
1684245600000,1.07
1684249200000,0.95
1684252800000,0.46
1684256400000,0.17
1684260000000,0.16
1684263600000,0.19
1684267200000,0.29
1684270800000,1.33
1684274400000,0.19
1684278000000,0.16
1684281600000,0.16
1684285200000,0.16
1684288800000,0.17
1684292400000,0.16
1684296000000,0.17
1684299600000,0.17
1684303200000,0.16
1684306800000,0.35
1684310400000,0.22
1684314000000,0.3
1684317600000,0.3
1684321200000,0.86
1684324800000,0.63
1684328400000,0.27
1684332000000,0.34
1684335600000,0.35
1684339200000,0.8
1684342800000,1.44
1684346400000,1.7
1684350000000,0.66
1684353600000,0.3
1684357200000,1.01
1684360800000,0.74
1684364400000,0.23
1684368000000,0.41
1684371600000,0.18
1684375200000,0.16
1684378800000,0.16
1684382400000,0.16
1684386000000,0.39
1684389600000,0.17
1684393200000,0.33
1684396800000,0.2
1684400400000,0.2
1684404000000,0.16
1684407600000,0.17
1684411200000,0.16
1684414800000,0.2
1684418400000,0.16
1684422000000,0.68
1684425600000,1.12
1684429200000,0.95
1684432800000,0.28
1684436400000,0.16
1684440000000,0.16
1684443600000,1.27
1684447200000,0.22
1684450800000,0.16
1684454400000,0.15
1684458000000,0.16
1684461600000,0.16
1684465200000,0.16
1684468800000,0.18
1684472400000,0.47
1684476000000,0.74
1684479600000,0.63
1684483200000,0.3
